,,,,,,,
"Student Average Daily Attendance/Average Daily Membership by District",,,,,,,
"2013-14, Survey 5 Data Final",,,,,,,
,,,,,,,
"DIST #",DISTRICT,"DAYS PRESENT","DAYS ABSENT",TOTAL,"PERCENT PRESENT","AVERAGE DAILY ATTENDANCE","AVERAGE DAILY MEMBERSHIP"
,,,,,,,
0,FLORIDA,454293581,27134673,481428254,"0,9436371405821147",2523850,2674602
1,ALACHUA,4707867,290678,4998545,"0,9418474776159863",26155,27770
2,BAKER,821781,74263,896044,"0,9171212574382508",4565,4978
3,BAY,4438895,325875,4764770,"0,9316074018263211",24661,26471
4,BRADFORD,531890,42463,574353,"0,9260681149049452",2955,3191
5,BREVARD,12157211,618126,12775337,"0,9516156794924471",67540,70974
6,BROWARD,44293588,3033755,47327343,"0,9358984720524032",246075,262930
7,CALHOUN,362406,33630,396036,"0,915083477259643",2013,2200
8,CHARLOTTE,2793530,137245,2930775,"0,9531710895582226",15520,16282
9,CITRUS,2545213,169923,2715136,"0,9374163946115406",14140,15084
10,CLAY,6051508,348420,6399928,"0,9455587625360785",33619,35555
11,COLLIER,7697231,335240,8032471,"0,9582643995851339",42762,44625
12,COLUMBIA,1697891,118972,1816863,"0,9345179025606224",9433,10094
13,DADE,60317911,3673655,63991566,"0,9425915752710287",335100,355509
14,DESOTO,799263,55472,854735,"0,935100352740908",4440,4749
15,DIXIE,356598,38215,394813,"0,9032073411969718",1981,2193
16,DUVAL,21886275,1067881,22954156,"0,953477662171504",121590,127523
17,ESCAMBIA,6754142,423503,7177645,"0,9409969425905015",37523,39876
18,FLAGLER,2128121,124991,2253112,"0,9445251722950302",11823,12517
19,FRANKLIN,210226,22818,233044,"0,9020871595063593",1168,1295
20,GADSDEN,1008321,70511,1078832,"0,9346413528705119",5602,5994
21,GILCHRIST,431927,33887,465814,"0,927252079156058",2400,2588
22,GLADES,263638,12538,276176,"0,9546014135913331",1465,1534
23,GULF,306036,23695,329731,"0,9281383915979996",1700,1832
24,HAMILTON,265321,28186,293507,"0,9039682188159056",1474,1631
25,HARDEE,895275,52414,947689,"0,9446928264441182",4974,5265
26,HENDRY,1168599,95282,1263881,"0,9246115733997109",6492,7022
27,HERNANDO,3703364,273834,3977198,"0,9311490149597782",20574,22096
28,HIGHLANDS,2069697,126419,2196116,"0,942435190126569",11498,12201
29,HILLSBOROUGH,34910117,2123711,37033828,"0,9426548343854705",193945,205743
30,HOLMES,584483,30845,615328,"0,9498722632482188",3247,3418
31,"INDIAN RIVER",3162122,199474,3361596,"0,9406609241562639",17567,18676
32,JACKSON,1120450,80209,1200659,"0,9331958532772419",6225,6670
33,JEFFERSON,162577,9175,171752,"0,9465799524896362",903,954
34,LAFAYETTE,199228,16452,215680,"0,9237203264094955",1107,1198
35,LAKE,7100395,427522,7527917,"0,9432084599232431",39447,41822
36,LEE,14736780,930566,15667346,"0,9406047456920911",81871,87041
37,LEON,5655974,350348,6006322,"0,9416701269096129",31422,33368
38,LEVY,802476,90323,892799,"0,8988316519171728",4458,4960
39,LIBERTY,227146,20501,247647,"0,9172168449446187",1262,1376
40,MADISON,421523,32777,454300,"0,9278516398855382",2342,2524
41,MANATEE,7804636,571909,8376545,"0,9317249534265022",43359,46536
42,MARION,6991572,501854,7493426,"0,9330274296429965",38842,41630
43,MARTIN,3233609,151331,3384940,"0,955292856003356",17964,18805
44,MONROE,1441637,74201,1515838,"0,9510495184841652",8009,8421
45,NASSAU,1868009,127369,1995378,"0,9361679842115128",10378,11085
46,OKALOOSA,5159546,271978,5431524,"0,949926024445441",28664,30175
47,OKEECHOBEE,1070536,66863,1137399,"0,9412141209900835",5947,6319
48,ORANGE,31876926,1945987,33822913,"0,9424654227742004",177094,187905
49,OSCEOLA,1832151,165533,1997684,"0,9171375452774313",10179,11098
50,"PALM BEACH",32109637,1314588,33424225,"0,9606696041568653",178387,185690
51,PASCO,11511565,712661,12224226,"0,9417009305947059",63953,67912
52,PINELLAS,17322652,1301419,18624071,"0,9301216688875381",96237,103467
53,POLK,16691895,875270,17567165,"0,9501757967207571",92733,97595
54,PUTNAM,1764443,219522,1983965,"0,8893518786873761",9802,11022
55,"SAINT JOHNS",5971525,312828,6284353,"0,9502211285712308",33175,34913
56,"SAINT LUCIE",6909382,154757,7064139,"0,9780925884952151",38385,39245
57,"SANTA ROSA",4350661,252900,4603561,"0,9450642665536527",24170,25575
58,SARASOTA,7231768,322291,7554059,"0,9573353875049162",40176,41967
59,SEMINOLE,11170515,530045,11700560,"0,9546991767915382",62058,65003
60,SUMTER,1406819,75928,1482747,"0,9487923428609196",7816,8237
61,SUWANNEE,988665,85666,1074331,"0,9202610741009987",5493,5969
62,TAYLOR,493740,48361,542101,"0,9107896867926826",2743,3012
63,UNION,394878,29112,423990,"0,9313380032547938",2194,2356
64,VOLUSIA,10279607,683037,10962644,"0,9376941365604867",57109,60904
65,WAKULLA,836541,64021,900562,"0,9289099473439919",4647,5003
66,WALTON,1328115,79956,1408071,"0,9432159315829954",7378,7823
67,WASHINGTON,517560,47592,565152,"0,9157890266689316",2875,3140
68,FSDB,100160,6401,106561,"0,9399311192650219",556,592
69,DOZIER/OKEECHOBEE,13688,245,13933,"0,9824158472690734",76,77
71,"FL Virtual",780930,137285,918215,"0,8504870863577703",4339,5101
72,"FAU LAB",409301,10758,420059,"0,9743893119776031",2274,2334
73,"FSU LAB",409671,15690,425361,"0,9631136846114242",2276,2363
74,"FAMU LAB",78425,5082,83507,"0,9391428263498869",436,464
75,"UF LAB",195820,8439,204259,"0,9586848070342066",1088,1135
