"STUDENT AVERAGE DAILY ATTENDANCE/AVERAGE DAILY MEMBERSHIP REPORT BY DISTRICT",,,,,,,
"2014-15 SURVEY 5 FINAL AS OF 02/29/2016",,,,,,,
,,,,,,,
"DISTRICT NUMBER","DISTRICT NAME ","DAYS PRESENT","DAYS ABSENT",TOTAL,"PERCENT PRESENT","AVERAGE DAILY ATTENDANCE ","AVERAGE DAILY MEMBERSHIP"
,,,,,,,
0,"FLORIDA ",466355615,28199700,494555315,"0,9429796846890626","2590864,527777778","2747529,527777778"
1,ALACHUA,4792643,297586,5090229,"0,9415377972189464",26626,28279
2,BAKER,821815,71208,893023,"0,9202618521583431",4566,4961
3,BAY,4590296,332004,4922300,"0,9325510432115068",25502,27346
4,BRADFORD,539042,50049,589091,"0,915040290888844",2995,3273
5,BREVARD,12325031,665705,12990736,"0,9487554053904259",68472,72171
6,BROWARD,45264948,2586268,47851216,"0,9459518855278412",251472,265840
7,CALHOUN,371996,36493,408489,"0,9106634450376877",2067,2269
8,CHARLOTTE,2753832,148626,2902458,"0,948793057470599",15299,16125
9,CITRUS,2532946,179840,2712786,"0,9337065290074484",14072,15071
10,CLAY,6092348,350091,6442439,"0,9456586240087023",33846,35791
11,COLLIER,7828376,344644,8173020,"0,9578314992499712",43491,45406
12,COLUMBIA,1698190,113917,1812107,"0,9371356106455082",9434,10067
13,DADE,60260790,3905435,64166225,"0,9391356589857047",334782,356479
14,DESOTO,812829,57738,870567,"0,9336777065981137",4516,4836
15,DIXIE,358036,36969,395005,"0,9064087796357008",1989,2194
16,DUVAL,22129452,1020002,23149454,"0,9559383992382714",122941,128608
17,ESCAMBIA,6889767,381645,7271412,"0,9475143204648561",38276,40397
18,FLAGLER,2218894,135315,2354209,"0,942522095531875",12327,13079
19,FRANKLIN,220163,20965,241128,"0,91305447729007",1223,1340
20,GADSDEN,997952,64793,1062745,"0,9390324113498535",5544,5904
21,GILCHRIST,434728,34212,468940,"0,9270439715102146",2415,2605
22,GLADES,280449,13894,294343,"0,9527965672701576",1558,1635
23,GULF,314666,22871,337537,"0,9322415024130688",1748,1875
24,HAMILTON,271420,27816,299236,"0,9070432701947626",1508,1662
25,HARDEE,899502,51764,951266,"0,9455840953003681",4997,5285
26,HENDRY,1197881,95605,1293486,"0,9260873329900748",6655,7186
27,HERNANDO,3717629,270429,3988058,"0,9321903041530489",20653,22156
28,HIGHLANDS,2092551,125706,2218257,"0,9433311829963796",11625,12324
29,HILLSBOROUGH,36113404,2211323,38324727,"0,9423003587214072",200630,212915
30,HOLMES,561993,35754,597747,"0,9401853961625906",3122,3321
31,"INDIAN RIVER*"," "," "," ",," "," "
32,JACKSON,1131063,90393,1221456,"0,9259956969387354",6284,6786
33,JEFFERSON,152203,9383,161586,"0,9419318505316054",846,898
34,LAFAYETTE,203322,16026,219348,"0,9269380163028612",1130,1219
35,LAKE,7496085,472487,7968572,"0,9407061892645256",41645,44270
36,LEE,15029698,1008582,16038280,"0,9371140795646415",83498,89102
37,LEON,5664623,365172,6029795,"0,9394387371378298",31470,33499
38,LEVY,909978,95066,1005044,"0,9054111063794222",5055,5584
39,LIBERTY,240925,22553,263478,"0,9144027205307464",1338,1464
40,MADISON,442515,37019,479534,"0,9228021370747433",2458,2664
41,MANATEE,7986719,579923,8566642,"0,9323045132503495",44371,47592
42,MARION,7069664,513991,7583655,"0,9322238419337378",39276,42131
43,MARTIN,3270415,164283,3434698,"0,9521695939497447",18169,19082
44,MONROE,1442420,76831,1519251,"0,9494283696374068",8013,8440
45,NASSAU,1874294,127985,2002279,"0,9360803364566077",10413,11124
46,OKALOOSA,5185150,294353,5479503,"0,9462810769516871",28806,30442
47,OKEECHOBEE,1068844,72472,1141316,"0,9365013721002772",5938,6341
48,ORANGE,32526270,2016454,34542724,"0,9416243490235454",180702,191904
49,OSCEOLA,10036127,628620,10664747,"0,9410562669700463",55756,59249
50,"PALM BEACH",32940962,1376240,34317202,"0,9598964973892685",183005,190651
51,PASCO,11763228,712222,12475450,"0,9429101154667767",65351,69308
52,PINELLAS,17316195,1290600,18606795,"0,9306382426420026",96201,103371
53,POLK,17028956,888060,17917016,"0,9504348268707244",94605,99539
54,PUTNAM,1816369,159914,1976283,"0,9190834511049278",10091,10979
55,"SAINT JOHNS",6287845,310118,6597963,"0,952997917690657",34932,36655
56,"SAINT LUCIE",6698055,491142,7189197,"0,9316833298628484",37211,39940
57,"SANTA ROSA",4480038,271317,4751355,"0,9428969209835931",24889,26396
58,SARASOTA,7163977,357287,7521264,"0,9524964154961187",39800,41785
59,SEMINOLE,11345944,564776,11910720,"0,9525825474866338",63033,66171
60,SUMTER,1369898,153388,1523286,"0,8993045298125237",7611,8463
61,SUWANNEE,1008463,86076,1094539,"0,9213586724639323",5603,6081
62,TAYLOR,479773,47289,527062,"0,9102781076989045",2665,2928
63,UNION,412211,33729,445940,"0,9243642642507961",2290,2477
64,VOLUSIA,10340771,699201,11039972,"0,9366664154583001",57449,61333
65,WAKULLA,849993,69252,919245,"0,9246642625197853",4722,5107
66,WALTON,1437237,82286,1519523,"0,9458474797683221",7985,8442
67,WASHINGTON,539008,55533,594541,"0,9065951717375252",2994,3303
68,FSDB,102386,6533,108919,"0,9400196476280539",569,605
69,DOZIER/OKEECHOBEE,11986,329,12315,"0,9732846122614698",67,68
71,"FL VIRTUAL",742882,216383,959265,"0,774428338363226",4127,5329
72,"FAU LAB",417063,16814,433877,"0,9612470815461525",2317,2410
73,"FSU LAB",411692,17389,429081,"0,9594738522563339",2287,2384
74,"FAMU LAB",78717,4429,83146,"0,946732254107233",437,462
75,"UF LAB",198082,9133,207215,"0,9559250054291436",1100,1151
